id,date,workday,temperature,demand
152,2014-06-01,0,14.9,199.712859758
153,2014-06-02,1,16.4,232.58764709
154,2014-06-03,1,16.4,235.011377108
155,2014-06-04,1,18.1,230.997025364
156,2014-06-05,1,16.7,232.087479466
157,2014-06-06,1,15.4,234.6715011
158,2014-06-07,0,16.8,202.432333296
159,2014-06-08,0,14.9,196.719661858
160,2014-06-09,0,15.4,206.504624442
161,2014-06-10,1,18.3,235.778186192
162,2014-06-11,1,16.2,241.099380104
163,2014-06-12,1,16.2,243.616722524
164,2014-06-13,1,16.5,237.212577078
165,2014-06-14,0,15.2,212.136561988
166,2014-06-15,0,16.0,203.35819459
167,2014-06-16,1,17.0,241.320649452
168,2014-06-17,1,15.8,244.756767862
169,2014-06-18,1,14.2,244.58834475
170,2014-06-19,1,12.2,252.897449834
171,2014-06-20,1,15.1,239.69476055
172,2014-06-21,0,15.0,211.049436444
173,2014-06-22,0,15.4,205.688831308
174,2014-06-23,1,14.4,245.357649132
175,2014-06-24,1,14.3,261.774488502
176,2014-06-25,1,15.7,248.247620102
177,2014-06-26,1,15.6,243.389594624
178,2014-06-27,1,14.5,241.59153925
179,2014-06-28,0,12.7,218.874063062
180,2014-06-29,0,11.0,220.295310302
181,2014-06-30,1,13.1,255.00559694
182,2014-07-01,1,13.1,254.810112552
183,2014-07-02,1,16.6,245.086450906
184,2014-07-03,1,12.4,247.866872026
185,2014-07-04,1,12.4,249.052042996
186,2014-07-05,0,15.2,218.406723026
187,2014-07-06,0,13.9,212.914845934
188,2014-07-07,1,15.7,241.260002962
189,2014-07-08,1,14.3,242.972463762
190,2014-07-09,1,13.3,257.599072426
191,2014-07-10,1,14.7,257.98055023
192,2014-07-11,1,14.4,247.654738106
193,2014-07-12,0,11.1,227.028991406
194,2014-07-13,0,14.9,220.939721336
195,2014-07-14,1,13.1,258.828692886
196,2014-07-15,1,12.9,264.18271463
197,2014-07-16,1,14.6,253.523189944
198,2014-07-17,1,12.1,259.805011266
199,2014-07-18,1,13.8,256.235468698
200,2014-07-19,0,13.2,223.482490216
201,2014-07-20,0,13.2,215.77484077
202,2014-07-21,1,12.9,258.827803342
203,2014-07-22,1,12.2,268.984564334
204,2014-07-23,1,13.4,267.235454746
205,2014-07-24,1,14.9,269.354395358
206,2014-07-25,1,15.9,253.27478474
207,2014-07-26,0,14.9,223.156768042
208,2014-07-27,0,16.8,211.216041898
209,2014-07-28,1,16.7,242.072527
210,2014-07-29,1,16.5,246.404601926
211,2014-07-30,1,18.9,237.884147744
212,2014-07-31,1,19.3,239.61865251
213,2014-08-01,1,9.8,263.314798322
214,2014-08-02,0,13.4,227.57694229
215,2014-08-03,0,14.2,221.635011384
216,2014-08-04,1,15.2,256.61974377
217,2014-08-05,1,16.5,250.481639172
218,2014-08-06,1,15.9,246.815479278
219,2014-08-07,1,13.6,252.00979398
220,2014-08-08,1,15.9,243.56900637
221,2014-08-09,0,14.6,217.18736036
222,2014-08-10,0,13.6,212.913591254
223,2014-08-11,1,12.7,261.058640828
224,2014-08-12,1,12.7,262.47509844
225,2014-08-13,1,14.5,253.515558168
226,2014-08-14,1,14.8,249.853049548
227,2014-08-15,1,16.9,244.954895408
228,2014-08-16,0,13.3,221.146268684
229,2014-08-17,0,15.7,210.597724776
230,2014-08-18,1,13.6,250.250471944
231,2014-08-19,1,13.3,248.265012146
232,2014-08-20,1,13.3,247.303441168
233,2014-08-21,1,17.4,242.793715624
234,2014-08-22,1,20.6,231.165211644
235,2014-08-23,0,19.9,202.580009638
236,2014-08-24,0,16.3,200.860669396
237,2014-08-25,1,16.1,239.126760428
238,2014-08-26,1,18.7,236.93225352
239,2014-08-27,1,19.5,233.073962462
240,2014-08-28,1,20.0,233.122114494
241,2014-08-29,1,15.0,233.82076382
242,2014-08-30,0,21.0,193.010548572
243,2014-08-31,0,21.0,189.32914646
244,2014-09-01,1,17.8,236.269643916
245,2014-09-02,1,16.1,238.223979566
246,2014-09-03,1,14.8,241.451697342
247,2014-09-04,1,15.9,241.705381812
248,2014-09-05,1,16.7,233.516562276
249,2014-09-06,0,18.9,198.104970102
250,2014-09-07,0,20.7,186.010421868
251,2014-09-08,1,20.8,218.227625498
252,2014-09-09,1,20.7,222.727432448
253,2014-09-10,1,19.1,222.021291692
254,2014-09-11,1,17.1,226.73725465
255,2014-09-12,1,15.9,231.368291744
256,2014-09-13,0,18.5,196.583377262
257,2014-09-14,0,20.1,185.043838964
258,2014-09-15,1,18.0,225.464064872
259,2014-09-16,1,14.8,235.698203312
260,2014-09-17,1,16.2,236.132883132
261,2014-09-18,1,13.7,241.150931614
262,2014-09-19,1,15.5,230.364015644
263,2014-09-20,0,16.8,199.898901276
264,2014-09-21,0,17.2,187.057023898
265,2014-09-22,1,23.0,217.468430896
266,2014-09-23,1,25.3,215.156355962
267,2014-09-24,1,23.5,215.46607728
268,2014-09-25,1,17.0,217.797838828
269,2014-09-26,1,19.3,214.799597462
270,2014-09-27,0,23.3,184.72685141
271,2014-09-28,0,27.9,177.315894968
272,2014-09-29,1,22.9,207.730453672
273,2014-09-30,1,23.8,218.174634644
274,2014-10-01,1,15.9,224.694193116
275,2014-10-02,1,17.4,224.902387284
276,2014-10-03,1,18.1,212.365593856
277,2014-10-04,0,26.2,183.748682574
278,2014-10-05,0,19.2,173.583948884
279,2014-10-06,1,25.0,221.161395562
280,2014-10-07,1,17.7,216.720937392
281,2014-10-08,1,18.7,221.225142232
282,2014-10-09,1,23.1,217.726724034
283,2014-10-10,1,24.9,213.9396859
284,2014-10-11,0,21.2,186.21909401
285,2014-10-12,0,27.5,181.445632594
286,2014-10-13,1,15.5,222.122176916
287,2014-10-14,1,16.9,228.70363741
288,2014-10-15,1,17.1,225.683273886
289,2014-10-16,1,16.7,224.579852372
290,2014-10-17,1,18.1,214.555146346
291,2014-10-18,0,24.2,191.73906361
292,2014-10-19,0,28.8,183.938925838
